Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,company_id,name_latest,names_previous,indicator_id,2010,2011,2012,2013,2014,2015,2016
2020-03-18 04:00:00+00:00,58.18714954728448,60.66975488014331,57.54404792376218,59.86163330078125,300233600,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19 04:00:00+00:00,60.036357886139776,61.35895770048267,58.87635255804571,59.4029655456543,271857200,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20 04:00:00+00:00,59.98538679283878,61.11384623953513,55.330805866260086,55.63172912597656,401693200,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23 04:00:00+00:00,55.35022704591594,55.45215178207589,51.59598260057971,54.44988632202149,336752800,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24 04:00:00+00:00,57.359613328429845,60.10916707001685,56.85969513959366,59.91259765625,287531200,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25 04:00:00+00:00,60.851767993758266,62.67186075528643,59.28648895944169,59.582557678222656,303602000,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26 04:00:00+00:00,59.82523808416542,62.77621240154902,59.78640854897909,62.71797180175781,252087200,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27 04:00:00+00:00,61.33712415208677,62.09428153233142,59.95385443702902,60.12130355834961,204216800,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30 04:00:00+00:00,60.8493420241544,62.0093475048291,60.52414930589501,61.83704376220703,167976400,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31 04:00:00+00:00,62.02875090311736,63.70080528173277,61.15510506386712,61.71083831787109,197002000,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01 04:00:00+00:00,59.8203888511464,60.35913666563923,58.03184534712528,58.46381378173828,176218400,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02 04:00:00+00:00,58.32547341461665,59.49275888105111,57.49065701285396,59.43936920166016,165934000,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03 04:00:00+00:00,58.92247157470053,59.62623930857482,57.99301040837071,58.585147857666016,129880000,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06 04:00:00+00:00,60.88815938708916,63.85126789213967,60.519289974644046,63.69595718383789,201820400,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07 04:00:00+00:00,65.71748889327498,65.93590598005878,62.85387884275289,62.958229064941406,202887200,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08 04:00:00+00:00,63.76148528714011,64.88509036892265,63.39504499184154,64.56961059570312,168895200,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09 04:00:00+00:00,65.20786042767898,65.54032952455171,64.2371442763535,65.03555297851562,161834800,0.0,0.0,AAPL,0.0,Unknown,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0
